layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
28,16,1.0,1.0,18,14,4
28,17,1.0,0.5,17,13,4
28,18,1.0,0.75,16,12,4
29,0,1.0,0.16666666666666666,30,24,6
29,1,1.0,0.5,30,24,6
29,2,1.0,0.16666666666666666,30,24,6
29,3,1.0,0.3333333333333333,30,24,6
29,4,1.0,0.3333333333333333,30,24,6
29,5,1.0,0.3333333333333333,30,24,6
29,6,1.0,0.6666666666666666,29,23,6
29,7,1.0,0.8333333333333334,29,23,6
29,8,1.0,0.6666666666666666,29,23,6
29,9,1.0,0.8333333333333334,28,22,6
29,10,1.0,0.5,28,22,6
29,11,1.0,0.8333333333333334,28,22,6
29,12,1.0,0.5,28,22,6
29,13,1.0,0.5,26,20,6
29,14,1.0,0.8,25,20,5
29,15,1.0,0.25,19,15,4
29,16,1.0,1.0,18,14,4
29,17,1.0,0.5,17,13,4
29,18,1.0,0.75,16,12,4
30,0,1.0,0.16666666666666666,30,24,6
30,1,1.0,0.5,30,24,6
30,2,1.0,0.16666666666666666,30,24,6
30,3,1.0,0.3333333333333333,30,24,6
30,4,1.0,0.3333333333333333,30,24,6
30,5,1.0,0.3333333333333333,30,24,6
30,6,1.0,0.8333333333333334,29,23,6
30,7,1.0,0.8333333333333334,29,23,6
30,8,1.0,0.6666666666666666,29,23,6
30,9,1.0,0.6666666666666666,28,22,6
30,10,1.0,0.5,28,22,6
30,11,1.0,0.6666666666666666,28,22,6
30,12,1.0,0.5,28,22,6
30,13,1.0,0.5,26,20,6
30,14,1.0,0.8,25,20,5
30,15,1.0,0.25,19,15,4
30,16,1.0,1.0,18,14,4
30,17,1.0,0.5,17,13,4
30,18,1.0,0.75,16,12,4
31,0,1.0,0.16666666666666666,30,24,6
31,1,1.0,0.5,30,24,6
31,2,1.0,0.16666666666666666,30,24,6
31,3,1.0,0.3333333333333333,30,24,6
31,4,1.0,0.3333333333333333,30,24,6
31,5,1.0,0.3333333333333333,30,24,6
31,6,1.0,0.8333333333333334,29,23,6
31,7,1.0,1.0,29,23,6
31,8,1.0,0.6666666666666666,29,23,6
31,9,1.0,0.6666666666666666,28,22,6
31,10,1.0,0.5,28,22,6
31,11,1.0,0.6666666666666666,28,22,6
31,12,1.0,0.5,28,22,6
31,13,1.0,0.5,26,20,6
31,14,1.0,0.8,25,20,5
31,15,1.0,0.25,19,15,4
31,16,1.0,1.0,18,14,4
31,17,1.0,0.5,17,13,4
31,18,1.0,0.75,16,12,4
32,0,1.0,0.16666666666666666,30,24,6
32,1,1.0,0.5,30,24,6
32,2,1.0,0.3333333333333333,30,24,6
32,3,1.0,0.3333333333333333,30,24,6
32,4,1.0,0.3333333333333333,30,24,6
32,5,1.0,0.3333333333333333,30,24,6
32,6,1.0,0.8333333333333334,29,23,6
32,7,1.0,1.0,29,23,6
32,8,1.0,0.6666666666666666,29,23,6
32,9,1.0,0.6666666666666666,28,22,6
32,10,1.0,0.5,28,22,6
32,11,1.0,0.6666666666666666,28,22,6
32,12,1.0,0.5,28,22,6
32,13,1.0,0.5,26,20,6
32,14,1.0,0.8,25,20,5
32,15,1.0,0.25,19,15,4
32,16,1.0,1.0,18,14,4
32,17,1.0,0.5,17,13,4
32,18,1.0,0.75,16,12,4
33,0,1.0,0.16666666666666666,30,24,6
33,1,1.0,0.5,30,24,6
33,2,1.0,0.16666666666666666,30,24,6
33,3,1.0,0.3333333333333333,30,24,6
33,4,1.0,0.3333333333333333,30,24,6
33,5,1.0,0.3333333333333333,30,24,6
33,6,1.0,0.8333333333333334,29,23,6
33,7,1.0,1.0,29,23,6
33,8,1.0,0.6666666666666666,29,23,6
33,9,1.0,0.6666666666666666,28,22,6
33,10,1.0,0.5,28,22,6
33,11,1.0,0.6666666666666666,28,22,6
33,12,1.0,0.5,28,22,6
33,13,1.0,0.5,26,20,6
33,14,1.0,0.6,25,20,5
33,15,1.0,0.25,19,15,4
33,16,1.0,0.75,18,14,4
33,17,1.0,0.5,17,13,4
33,18,1.0,0.75,16,12,4
34,0,1.0,0.16666666666666666,30,24,6
34,1,1.0,0.5,30,24,6
34,2,1.0,0.3333333333333333,30,24,6
34,3,1.0,0.3333333333333333,30,24,6
34,4,1.0,0.3333333333333333,30,24,6
34,5,1.0,0.3333333333333333,30,24,6
34,6,1.0,0.8333333333333334,29,23,6
34,7,1.0,1.0,29,23,6
34,8,1.0,0.6666666666666666,29,23,6
34,9,1.0,0.6666666666666666,28,22,6
34,10,1.0,0.5,28,22,6
34,11,1.0,0.6666666666666666,28,22,6
34,12,1.0,0.5,28,22,6
34,13,1.0,0.5,26,20,6
34,14,1.0,0.6,25,20,5
34,15,1.0,0.5,19,15,4
34,16,1.0,0.75,18,14,4
34,17,1.0,0.5,17,13,4
34,18,1.0,0.75,16,12,4
35,0,1.0,0.16666666666666666,30,24,6
35,1,1.0,0.3333333333333333,30,24,6
35,2,1.0,0.3333333333333333,30,24,6
35,3,1.0,0.3333333333333333,30,24,6
35,4,1.0,0.3333333333333333,30,24,6
