layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
31,6,9.244829266594834e-08,0.042561821047465004,0.9999993676869061,-3.3928485026053323,23,17,6
31,7,2.3889479294319777e-07,0.06041747398376465,0.9999983921982427,-0.20513578425062495,23,17,6
31,8,2.3185620073218826e-08,0.11883311208089192,0.9999998349438382,-0.3353702194131942,23,17,6
31,9,1.8677711486816684e-07,0.035682147280375165,0.999998656022919,0.5324802365360657,22,16,6
31,10,5.0425529479965485e-09,0.03149855700107179,0.999999970140323,0.5087471306490294,22,16,6
31,11,5.793571472166104e-09,0.047253581047058096,0.9999999635190651,0.16545873347032403,22,16,6
31,12,2.274990081787064e-07,0.017678063201904296,0.9999986211659037,0.608218249649991,22,16,6
31,13,2.3181621844941967e-09,0.035650670928955075,0.9999999845336273,-0.09438454472479973,18,13,5
31,14,1.1834231289948471e-08,0.11069897531509398,0.9999999166001545,-6.031184915846923,16,11,5
31,15,3.2837854629260814e-09,0.09097975244522094,0.9999999771663781,-1.9659251000887026,14,10,4
31,16,3.623962402342895e-09,0.0992949849126737,0.9999999718593302,-2.492375255946463,13,9,4
31,17,6.949901580810374e-09,0.11698991599082947,0.9999999544492769,-1.5281451321627122,12,8,4
31,18,1.4591217041017815e-08,0.08144828714691861,0.9999998999059027,-0.8574079701206612,12,8,4
31,19,3.34058489118317e-07,0.05658372879028321,0.9999975919639333,-0.5914173722267151,10,7,3
32,0,5.856561072076881e-09,0.023392476423885963,0.9999998892806299,-2.0631627801678794,24,18,6
32,1,8.88241661919452e-08,0.024562280178070075,0.9999975597756541,-1.3795535156364975,24,18,6
32,2,6.683581882406518e-08,0.1112516463001569,0.9999992507628302,-8.854968668320984,24,18,6
32,3,8.882549073961022e-08,0.07549675590594611,0.999999125690863,-3.7316908297598523,24,18,6
32,4,8.014120184633175e-09,0.05533986845016479,0.9999999402110512,-0.544368421865064,24,18,6
32,5,7.053050247255865e-09,0.0927538012822469,0.9999999544519561,-11.783831723433721,24,18,6
32,6,9.244829266594834e-08,0.03417347858746846,0.9999993676869061,-2.5270792120093595,23,17,6
32,7,2.3889479294319777e-07,0.04729791191418966,0.9999983921982427,0.05655760809462107,23,17,6
32,8,1.0162756508852323e-08,0.11479793485005696,0.9999999276523303,-0.29002548838870346,23,17,6
32,9,1.6233921051025858e-07,0.0472645154953003,0.9999988318687842,0.38072406542771475,22,16,6
32,10,5.0425529479965485e-09,0.028232440936649807,0.999999970140323,0.559685619298716,22,16,6
32,11,5.793571472166104e-09,0.05027534262339273,0.9999999635190651,0.11209167266378617,22,16,6
32,12,2.424001693725541e-07,0.04286314595540364,0.9999985308524149,0.05006571386694725,22,16,6
32,13,2.3181621844941967e-09,0.037134563369750975,0.9999999845336273,-0.13993625275512578,18,13,5
32,14,1.1834231289948471e-08,0.10594799064636232,0.9999999166001545,-5.729420137599231,16,11,5
32,15,3.2837854629260814e-09,0.0846853899002075,0.9999999771663781,-1.7607299070972298,14,10,4
32,16,3.623962402342895e-09,0.0779566529700181,0.9999999718593302,-1.7418694520003588,13,9,4
32,17,6.949901580810374e-09,0.11718570294380187,0.9999999544492769,-1.5323760765813486,12,8,4
32,18,1.4591217041017815e-08,0.06515646759149979,0.9999998999059027,-0.4858770693490124,12,8,4
32,19,3.34058489118317e-07,0.08247902234395345,0.9999975919639333,-1.3197225034236908,10,7,3
33,0,5.856561072076881e-09,0.021117960381488016,0.9999998892806299,-1.7653228782388157,24,18,6
33,1,8.88241661919452e-08,0.03207097609837851,0.9999975597756541,-2.106983690908574,24,18,6
33,2,6.683581882406518e-08,0.10899673980474471,0.9999992507628302,-8.655223014199825,24,18,6
33,3,9.283224741617827e-08,0.0615025604446729,0.9999990862523647,-2.854617298064457,24,18,6
33,4,8.014120184633175e-09,0.04865389345486959,0.9999999402110512,-0.35778307315915137,24,18,6
33,5,7.053050247255865e-09,0.09734943304061888,0.9999999544519561,-12.417226605904592,24,18,6
33,6,9.244829266594834e-08,0.03807003846168518,0.9999993676869061,-2.929247088935396,23,17,6
33,7,2.3889479294319777e-07,0.053435582192738855,0.9999983921982427,-0.06586932565303583,23,17,6
33,8,2.3185620073218826e-08,0.10183536465962728,0.9999998349438382,-0.14436044691802397,23,17,6
33,9,1.7187595367431918e-07,0.04837015701929728,0.9999987632460076,0.36623756999028156,22,16,6
33,10,5.0425529479965485e-09,0.021186023403514883,0.999999970140323,0.6695818545986294,22,16,6
33,11,5.793571472166104e-09,0.043992420196533204,0.9999999635190651,0.223053803436423,22,16,6
33,12,2.424001693725541e-07,0.053780730056762704,0.9999985308524149,-0.19189010221833103,22,16,6
33,13,2.3181621844941967e-09,0.03890234558105469,0.9999999845336273,-0.1942026516777593,18,13,5
33,14,1.1834231289948471e-08,0.10983332466125488,0.9999999166001545,-5.976202023707753,16,11,5
33,15,3.2837854629260814e-09,0.08165979852676392,0.9999999771663781,-1.6620961214918966,14,10,4
33,16,3.623962402342895e-09,0.0648613688778351,0.9999999718593302,-1.2812858064783792,13,9,4
33,17,6.949901580810374e-09,0.10744803371429443,0.9999999544492769,-1.3219456232154392,12,8,4
33,18,1.4591217041017815e-08,0.0734290091825991,0.9999998999059027,-0.6745303268048244,12,8,4
33,19,3.34058489118317e-07,0.05266002655029297,0.9999975919639333,-0.4810632467269895,10,7,3
34,0,5.856561072076881e-09,0.02482192179441088,0.9999998892806299,-2.250343640198766,24,18,6
34,1,8.88241661919452e-08,0.043795932133992514,0.9999975597756541,-3.242878247641901,24,18,6
34,2,6.683581882406518e-08,0.11227784128983814,0.9999992507628302,-8.945871767800622,24,18,6
34,3,9.144147237141891e-08,0.08715794053475062,0.9999990999417608,-4.462545019587433,24,18,6
34,4,8.014120184633175e-09,0.040696852191289275,0.9999999402110512,-0.1357261076638867,24,18,6
34,5,7.053050247255865e-09,0.08970403386751809,0.9999999544519561,-11.363496245140317,24,18,6
34,6,9.244829266594834e-08,0.04123121291796366,0.9999993676869061,-3.255515094743955,23,17,6
34,7,2.3889479294319777e-07,0.03736532357533772,0.9999983921982427,0.2546810457046995,23,17,6
34,8,2.3185620073218826e-08,0.05818573609987895,0.9999998349438382,0.34614605456497627,23,17,6
34,9,1.8677711486816684e-07,0.047975945409139,0.999998656022919,0.3714026660616523,22,16,6
34,10,5.0425529479965485e-09,0.023214722203076365,0.999999970140323,0.6379421796033736,22,16,6
34,11,5.793571472166104e-09,0.043474517822265614,0.9999999635190651,0.23220043092545029,22,16,6
34,12,2.1259784698485877e-07,0.04567192344665528,0.9999987114793925,-0.012182494508489183,22,16,6
34,13,2.3181621844941967e-09,0.03196161643981933,0.9999999845336273,0.018860006145035135,18,13,5
34,14,1.1834231289948471e-08,0.10808657716751098,0.9999999166001545,-5.865255155456743,16,11,5
34,15,3.2837854629260814e-09,0.08808390846252441,0.9999999771663781,-1.871521058273005,14,10,4
34,16,3.623962402342895e-09,0.07778193832689005,0.9999999718593302,-1.7357244377577108,13,9,4
34,17,6.949901580810374e-09,0.09913456621170043,0.9999999544492769,-1.1422920845316145,12,8,4
34,18,1.4591217041017815e-08,0.10291883020790255,0.9999998999059027,-1.3470383748995194,12,8,4
34,19,3.34058489118317e-07,0.08065138498942058,0.9999975919639333,-1.2683202028274536,10,7,3
35,0,5.856561072076881e-09,0.02888715623655734,0.9999998892806299,-2.782671838812419,24,18,6
35,1,8.88241661919452e-08,0.04786334514617919,0.9999975597756541,-3.636922565291848,24,18,6
35,2,6.683581882406518e-08,0.11843425871928531,0.9999992507628302,-9.491223705448501,24,18,6
35,3,8.707046508789049e-08,0.07309949563741684,0.9999991429655772,-3.5814447126514732,24,18,6
35,4,8.014120184633175e-09,0.04664759117762248,0.9999999402110512,-0.30179324216620884,24,18,6
35,5,7.053050247255865e-09,0.09404193196296691,0.9999999544519561,-11.961368876978593,24,18,6
35,6,9.244829266594834e-08,0.04074183057149251,0.9999993676869061,-3.2050054488925754,23,17,6
35,7,2.3889479294319777e-07,0.024621646277109777,0.9999983921982427,0.5088767364938209,23,17,6
35,8,1.0162756508852323e-08,0.05615459060668945,0.9999999276523303,0.3689707635657322,23,17,6
35,9,1.7187595367431918e-07,0.05690319531758626,0.9999987632460076,0.25443476800367393,22,16,6
35,10,5.0425529479965485e-09,0.028620405647547132,0.999999970140323,0.5536349047396729,22,16,6
35,11,5.793571472166104e-09,0.03772037283579508,0.9999999635190651,0.33382387063941177,22,16,6
35,12,2.2749900817870642e-07,0.036911412366231286,0.9999986211659037,0.1819682066090088,22,16,6
35,13,2.3181621844941967e-09,0.022197416229248045,0.9999999845336273,0.3185960145736725,18,13,5
35,14,1.1834231289948471e-08,0.1219129507446289,0.9999999166001545,-6.743454696686286,16,11,5
35,15,3.2837854629260814e-09,0.07926651945114135,0.9999999771663781,-1.5840756137291399,14,10,4
35,16,3.623962402342895e-09,0.040929456231833396,0.9999999718593302,-0.43955931217583744,13,9,4
35,17,6.949901580810374e-09,0.11397455456256866,0.9999999544492769,-1.4629833508928942,12,8,4
35,18,1.4591217041017815e-08,0.07294162438645653,0.9999998999059027,-0.6634156375144542,12,8,4
35,19,3.34058489118317e-07,0.08849874178568522,0.9999975919639333,-1.4890271127223964,10,7,3
36,0,5.856561072076881e-09,0.02801560871720761,0.9999998892806299,-2.668545746557658,24,18,6
36,1,8.88241661919452e-08,0.03903629144032796,0.9999975597756541,-2.7817720448111047,24,18,6
